Reference, Value, Footprint, Datasheet
"U1","ESP-12","ESP8266:ESP-12S_SMD",""
"J2","CONN_01X08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm",""
"J1","CONN_01X08","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm",""
"R1","10k","Resistors_SMD:R_0805_HandSoldering",""
"R2","10k","Resistors_SMD:R_0805_HandSoldering",""
"R3","10k","Resistors_SMD:R_0805_HandSoldering",""
"C1","1uF","Capacitors_SMD:C_0805_HandSoldering",""
"R4","10k","Resistors_SMD:R_0805_HandSoldering",""
"J3","GS2","Connectors:GS2",""
"U2","AP2112K-3.3TRG1","TO_SOT_Packages_SMD:SOT-23-5_HandSoldering","http://static6.arrow.com/aropdfconversion/b2ad89d0b69e88e2733c6f5a500303b177594a93/3203989154581911ap2112.pdf"
"C3","10uF","Capacitors_SMD:C_0805_HandSoldering",""
"C2","10uF","Capacitors_SMD:C_0805_HandSoldering",""
"R5","10k","Resistors_SMD:R_0805_HandSoldering",""
"D1","MBR120LSFT1G","Diodes_SMD:D_SOD-123","chrome-extension://oemmndcbldboiebfnladdacbdfmadadm/http://static6.arrow.com/aropdfconversion/f32d33614cd032bdbfdf31913fbfefdb016f42fb/30mbr120lsft1-d.pdf"
